query_id,query_text
7534,airpods
39158,face mask
9891,apple watch series 3
9700,apple headphones
13161,barbie dolls
36589,echo dot
54574,iphone xr
40490,fire stick
9800,apple tv
21870,camera
30112,cricut maker
53450,instant pot
85862,rc drone without camera
53310,inhaler spacer for adults without mask
85658,ratchet belts for men without buckle
93635,simple grunge outfits
81895,poleras largas mujer
48559,halloween costumes for women
75529,omega 3 without fish oil
10024,aquarium
67947,mens swim trunks without mesh lining
27836,color contacts lenses for eyes non prescription
92073,sexy high waisted swimsuits for women
41021,flamingos
39060,f11 topcoat
46582,golf experience
105191,trending mens fashion
14463,bed backboard
44224,gaming chair without wheels
65752,marcy mwm-990 home gym
81893,poleras deportivas mujer
95001,smart cutter as seen on tv
29535,couch pillows set of 4
43533,funny bunny opi
46208,go pro
54839,iqos heat not burn
73020,neutral swimsuit women
109695,warhammer 40k grey knights
8273,aloy costume
32909,diabetes test without blood
36590,echo dot 3rd gen
79847,piercing kit without jewelry
84616,purple skull trooper costume
86128,rechargeable batteries
108767,vintage sewing kit
110517,weejee board
113069,womens lightweight jacket without hood
4922,6' body pillow
